rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
5597,7538434,K07841.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,371.149,0.228,15.855,597.3,2.07,245,0.85
6828,12165063,K05958.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,226.499,0.266,1.328,127.4,0.89,245,0.86
6798,11654039,K05927.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,0,0,0,436.429,0.3772,13.8,163.9,1.26,245,0.86
4740,4940203,K07711.01,Unknown,CANDIDATE,CANDIDATE,0.987,0,0,0,0,302.78,0.001,16.847,270.9,1.31,246,0.87
4307,10729472,K04453.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,357.131,0.1365,13.04,330.5,1.62,246,0.87
6211,5037742,K05120.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,1,0,0,250.486,0.3157,12.72,674.6,2.1,246,0.86
9531,4276445,K08092.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.05,1,0,0,0,405.654,0.102,11.02,521,2.03,246,0.87
8609,12504353,K07537.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,498.688,0.1119,17.88,548.3,2.44,246,0.87
3808,2859893,K04418.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,333.038,0.2184,5.948,1260,3.19,247,0.89
9272,11296205,K08048.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,379.673,0.302,9.662,253.9,1.33,247,0.88
6540,8949512,K05589.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,376.555,0.0963,3.182,481,2,247,0.88
