rowid,kepoi_name,koi_period,koi_prad,koi_teq
3761,K04342.01,0.594311,1.808e-06,-1.808e-06
8130,K07528.01,0.595865,3.5205e-05,-3.5205e-05
2466,K02808.01,0.596088,7.41e-07,-7.41e-07
4320,K04595.01,0.597018,1.076e-06,-1.076e-06
5174,K03831.01,0.597933,6.3e-08,-6.3e-08
2431,K02799.01,0.597933,2.087e-06,-2.087e-06
3603,K04078.01,0.597934,7.86e-07,-7.86e-07
8816,K06450.01,0.602278,8.683e-06,-8.683e-06
9164,K07747.01,0.603087,1.39e-07,-1.39e-07
8697,K07902.01,0.603352,1.281e-06,-1.281e-06
5242,K03849.01,0.604359,1.494e-06,-1.494e-06
9082,K06675.01,0.604755,9.89e-07,-9.89e-07
2783,K03047.01,0.605223,1.552e-06,-1.552e-06
4608,K04802.01,0.605556,2.273e-06,-2.273e-06
8149,K06487.01,0.607192,2.7e-08,-2.7e-08
7348,K03222.01,0.607538,3.993e-06,-3.993e-06
9452,K08079.01,0.608075,1.692e-06,-1.692e-06
4433,K04836.01,0.608185,1.156e-06,-1.156e-06
7533,K06914.01,0.608863,5.8e-08,-5.8e-08
8246,K07412.01,0.609125,2.254e-06,-2.254e-06
8447,K07196.01,0.609662,2.2e-08,-2.2e-08
8991,K07947.01,0.609668,9.17e-06,-9.17e-06
4009,K04325.01,0.609927,2.437e-06,-2.437e-06
8404,K07477.01,0.612888,4.563e-06,-4.563e-06
1713,K02269.01,0.614084,8.17e-07,-8.17e-07
4258,K04584.01,0.614702,3.167e-06,-3.167e-06
5217,K03842.01,0.614964,7.7e-08,-7.7e-08
8707,K07356.01,0.615661,1.128e-05,-1.128e-05
7748,K06816.01,0.615787,3.654e-06,-3.654e-06
8487,K07906.01,0.616344,3.49e-07,-3.49e-07
4015,K04394.01,0.616386,1.104e-06,-1.104e-06
7968,K06577.01,0.618061,5.394e-06,-5.394e-06
7912,K06574.01,0.618105,8.56e-07,-8.56e-07
3669,K04028.01,0.618952,1.97e-07,-1.97e-07
5661,K07843.01,0.619023,4.783e-06,-4.783e-06
8446,K07057.01,0.619304,3.5205e-05,-3.5205e-05
9231,K08044.01,0.619618,3.5205e-05,-3.5205e-05
2445,K02724.01,0.62074,1.788e-06,-1.788e-06
3758,K04133.01,0.621361,1.311e-06,-1.311e-06
7363,K06887.01,0.622304,6.935e-06,-6.935e-06
8201,K06354.01,0.622407,3.736e-06,-3.736e-06
5348,K03719.01,0.623394,4.1e-08,-4.1e-08
5392,K03727.01,0.623442,5e-08,-5e-08
2493,K02888.01,0.623442,6.98e-07,-6.98e-07
810,K01384.01,0.624387,6e-08,-6e-08
3569,K04063.01,0.624678,2.004e-06,-2.004e-06
3658,K02250.02,0.626282,1.041e-06,-1.041e-06
7767,K07343.01,0.626432,2.24e-07,-2.24e-07
3849,K04359.01,0.629001,4.57e-06,-4.57e-06
7677,K06415.01,0.629277,7.62e-07,-7.62e-07
9440,K04817.01,0.63054,1.284e-06,-1.284e-06
4144,K04489.01,0.631107,1.618e-06,-1.618e-06
982,K01300.01,0.631332,3.41e-07,-3.41e-07
2036,K02648.01,0.631795,1.293e-06,-1.293e-06
2550,K02901.01,0.633514,1.622e-06,-1.622e-06
2491,K02817.01,0.634003,1.22e-06,-1.22e-06
7344,K06374.01,0.634131,5.796e-06,-5.796e-06
8509,K06799.01,0.634946,8.2e-08,-8.2e-08
580,K01153.01,0.63507,7.1e-08,-7.1e-08
5331,K03793.01,0.635442,2.59e-07,-2.59e-07
